AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;false;10;false;10;none;7;false;11;blue;7
2;medium;45.5;false;20.7;hot;23445;none;23;none;20.7
3;danger;45.5;red;9;blue;20.7;hot;7;true;9
4;medium;9;hot;45.5;medium;23445;false;45.5;true;9
5;false;20.7;hot;45.5;false;0.55;danger;1234;none;20.7
6;blue;7;safe;9;safe;23;false;20.7;safe;11
7;red;0.55;hot;0.55;false;9;none;0.55;blue;23445
8;medium;1234;cold;9;medium;9;none;20.7;red;23445
9;true;11;danger;1234;danger;11;blue;23;cold;23445
10;safe;1234;none;23445;none;11;hot;20.7;true;10
11;red;45.5;none;10;cold;1234;false;20.7;hot;0.55
12;false;20.7;danger;11;none;10;true;23445;false;1234
13;none;23445;hot;7;cold;0.55;false;1234;true;10
14;none;23445;red;23445;none;1234;false;9;medium;20.7
15;red;23445;true;1234;none;23445;none;45.5;medium;0.55
16;hot;10;cold;9;red;45.5;danger;9;danger;0.55
17;blue;0.55;red;23445;danger;23445;none;23445;cold;7
18;false;20.7;none;7;safe;9;hot;10;red;11
19;false;0.55;false;1234;red;1234;medium;23;safe;7
20;red;10;cold;23445;hot;9;hot;1234;hot;1234
21;true;10;danger;7;true;23445;danger;7;hot;23445
22;hot;1234;none;10;medium;10;danger;23;none;45.5
23;red;23;blue;10;false;0.55;blue;23445;danger;11
24;hot;7;red;9;red;1234;blue;10;false;23445
25;danger;1234;danger;10;none;45.5;blue;23;hot;45.5
26;cold;7;hot;45.5;safe;45.5;hot;11;blue;10
27;safe;7;none;0.55;safe;0.55;blue;23;hot;10
28;hot;20.7;blue;10;cold;45.5;safe;0.55;red;23445
29;red;10;danger;0.55;medium;0.55;false;9;hot;23
30;cold;10;true;23445;false;23;medium;9;safe;23445
31;red;23445;true;23445;false;20.7;none;45.5;medium;1234
32;safe;20.7;none;20.7;blue;0.55;hot;23445;red;23445
33;hot;23445;false;9;true;23;danger;7;hot;1234
34;medium;7;false;23445;hot;20.7;safe;9;none;23
35;red;23;none;45.5;none;20.7;danger;9;safe;9
36;true;23445;none;23;true;1234;cold;1234;blue;9
37;cold;23;safe;9;false;0.55;hot;11;red;1234
38;none;23;danger;23;medium;20.7;true;45.5;none;45.5
39;cold;1234;false;1234;hot;9;danger;7;cold;9
40;safe;11;none;1234;danger;23;hot;10;danger;1234
