AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double
A10;string
A11;double
A12;string
A13;double
A14;string
A15;double
A16;string
A17;double
A18;string
A19;double
A20;string
A21;double
A22;string
A23;double
A24;string
A25;double
A26;string
A27;double
A28;string
A29;double
A30;string
A31;double
A32;string
A33;double
A34;string
A35;double
A36;string
A37;double
A38;string
A39;double
A40;string
A41;double
A42;string
A43;double
A44;string
A45;double
A46;string
A47;double
A48;string
A49;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49
1;red;7;hot;9;false;1234;cold;7;blue;11;danger;11;safe;7;cold;7;true;7;blue;0.55;none;20.7;hot;1234;cold;1234;safe;11;none;9;safe;0.55;safe;23;red;7;danger;45.5;none;10;false;0.55;cold;7;red;0.55;blue;23;false;9
2;medium;11;danger;10;hot;7;blue;9;true;1234;none;45.5;safe;10;blue;23445;medium;7;hot;9;red;10;danger;10;safe;45.5;false;7;false;23445;none;1234;blue;20.7;safe;23;none;45.5;red;23445;hot;23;cold;23445;safe;10;true;45.5;none;23
3;safe;23445;safe;10;blue;7;hot;11;none;1234;red;45.5;none;23;true;23445;none;10;cold;7;cold;23445;red;9;medium;23;false;23;danger;45.5;danger;7;danger;7;safe;0.55;true;23;safe;23445;cold;7;blue;0.55;hot;11;medium;23;none;10
4;danger;0.55;blue;23445;medium;7;blue;0.55;none;23;blue;45.5;none;23;cold;45.5;none;23;safe;23445;false;1234;false;11;medium;20.7;cold;0.55;blue;23445;danger;0.55;hot;11;medium;0.55;danger;0.55;hot;0.55;cold;10;hot;20.7;safe;45.5;none;11;cold;20.7
5;danger;20.7;blue;10;red;0.55;false;45.5;true;9;cold;23445;safe;23445;none;0.55;hot;7;safe;1234;safe;0.55;false;0.55;true;23445;danger;23;hot;23;cold;0.55;none;7;blue;11;hot;0.55;red;10;true;23445;red;9;none;0.55;safe;10;false;1234
6;cold;23;medium;23;danger;20.7;red;9;red;20.7;safe;10;cold;20.7;cold;45.5;none;11;hot;10;hot;20.7;hot;9;red;10;false;9;hot;20.7;medium;11;none;20.7;blue;0.55;false;1234;none;0.55;none;10;safe;1234;blue;23445;true;7;none;7
7;hot;10;none;9;false;23445;blue;23445;hot;10;medium;7;medium;20.7;danger;0.55;blue;11;hot;7;safe;20.7;medium;0.55;false;11;false;23445;hot;23445;false;7;false;45.5;medium;9;medium;23445;hot;7;danger;10;danger;20.7;safe;7;hot;1234;none;20.7
8;danger;20.7;false;0.55;true;9;blue;20.7;danger;0.55;hot;9;safe;20.7;blue;20.7;hot;20.7;true;23445;cold;20.7;true;1234;hot;10;safe;9;true;23445;none;20.7;none;20.7;blue;20.7;false;20.7;red;23445;hot;11;red;45.5;safe;10;true;7;danger;11
9;blue;11;danger;11;false;1234;danger;10;red;23;medium;11;cold;9;safe;11;false;23;red;11;false;7;safe;9;safe;9;false;45.5;medium;23;blue;0.55;blue;23445;danger;0.55;true;23;danger;23445;red;11;medium;0.55;blue;23;true;20.7;none;9
10;red;10;blue;11;red;11;blue;23445;none;23445;red;11;hot;23445;none;7;safe;7;medium;10;true;23;danger;45.5;blue;10;cold;0.55;blue;11;none;1234;true;20.7;false;1234;blue;0.55;cold;23;false;23445;cold;23;red;0.55;danger;11;hot;0.55
11;blue;20.7;true;10;red;45.5;danger;11;safe;11;safe;7;true;45.5;blue;1234;safe;20.7;true;45.5;medium;10;false;20.7;none;20.7;true;45.5;blue;23;none;45.5;safe;11;blue;23;red;23;true;23;red;20.7;safe;0.55;safe;10;danger;20.7;safe;11
12;true;23;danger;7;cold;9;none;9;red;7;blue;1234;danger;45.5;cold;23445;cold;23;false;7;danger;23;hot;0.55;safe;1234;true;20.7;danger;23445;danger;23445;danger;23;none;9;safe;23;medium;0.55;none;11;red;1234;none;23445;none;11;safe;1234
