AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;red;23445;hot;1234;false;7;red;20.7;medium;7
2;safe;1234;true;20.7;blue;1234;false;0.55;true;11
3;false;23445;blue;11;safe;7;safe;0.55;red;11
4;cold;1234;hot;1234;red;9;safe;0.55;safe;7
5;false;23445;safe;7;danger;20.7;true;1234;medium;23
6;hot;1234;safe;7;blue;45.5;safe;45.5;none;7
7;false;11;safe;23445;none;11;safe;11;none;23
8;true;9;false;10;none;23445;safe;0.55;blue;23
9;medium;23;danger;1234;hot;0.55;red;11;none;7
10;true;9;hot;0.55;hot;7;hot;9;danger;9
11;medium;1234;danger;0.55;cold;1234;safe;1234;cold;20.7
12;cold;23;danger;45.5;danger;7;none;20.7;none;7
13;safe;20.7;hot;9;safe;9;red;0.55;safe;23445
14;medium;10;red;45.5;none;10;true;7;blue;9
15;true;23445;cold;0.55;cold;23445;blue;45.5;danger;10
16;hot;1234;true;10;true;1234;none;45.5;red;45.5
17;safe;45.5;safe;23445;medium;11;medium;23;red;1234
18;red;1234;red;0.55;hot;11;blue;23445;red;45.5
19;true;23;false;9;true;23;danger;1234;cold;9
20;danger;0.55;true;1234;hot;23445;danger;7;blue;20.7
21;none;23;true;7;medium;20.7;hot;45.5;danger;1234
22;safe;23445;blue;11;none;9;hot;23;red;0.55
23;medium;7;medium;0.55;safe;9;false;23;false;0.55
24;red;11;hot;1234;true;23445;danger;23445;none;23445
25;safe;20.7;hot;1234;none;23;medium;9;safe;20.7
26;medium;20.7;red;9;danger;23;red;9;true;10
27;medium;9;true;9;safe;23;false;10;hot;1234
28;safe;20.7;hot;23;medium;11;blue;23445;cold;1234
29;red;11;false;23;none;10;cold;9;red;1234
30;red;7;false;23;cold;45.5;false;10;red;9
31;false;20.7;danger;1234;safe;11;cold;0.55;danger;10
32;true;10;red;10;danger;10;danger;1234;false;45.5
33;medium;45.5;true;23445;cold;9;true;1234;safe;1234
34;medium;1234;medium;1234;cold;0.55;safe;11;safe;1234
35;hot;20.7;none;23445;red;11;false;0.55;none;1234
36;none;23;safe;20.7;false;1234;red;1234;none;11
37;true;1234;danger;7;medium;45.5;medium;45.5;medium;9
38;medium;23445;hot;20.7;medium;45.5;danger;1234;blue;0.55
39;true;23;false;1234;red;11;blue;23445;danger;20.7
40;blue;10;safe;20.7;hot;20.7;true;7;safe;9
41;cold;45.5;hot;11;none;0.55;danger;23;hot;1234
42;blue;23445;false;20.7;safe;9;blue;1234;blue;45.5
43;red;1234;none;11;none;20.7;danger;7;danger;7
44;true;23445;red;9;danger;0.55;medium;45.5;red;45.5
45;hot;1234;none;23;danger;7;none;20.7;false;23445
46;safe;7;blue;9;safe;45.5;danger;7;safe;23445
47;none;23;cold;7;cold;0.55;hot;23;medium;1234
48;medium;23445;red;0.55;none;0.55;red;9;none;23
49;true;23445;safe;11;blue;7;medium;45.5;red;10
50;hot;1234;hot;0.55;true;9;true;45.5;red;23
51;hot;23;blue;23;blue;23445;red;1234;false;11
52;none;23;false;23;danger;7;red;45.5;false;45.5
53;blue;11;false;1234;danger;23445;none;1234;hot;10
54;medium;20.7;safe;9;safe;23;medium;23445;safe;7
55;hot;9;safe;20.7;safe;11;true;23;red;20.7
56;cold;1234;medium;23;medium;9;true;11;blue;23
57;hot;45.5;safe;10;medium;20.7;danger;11;medium;0.55
58;safe;1234;blue;45.5;none;23;false;1234;none;0.55
59;safe;20.7;danger;45.5;cold;10;cold;23;false;9
60;false;7;false;23445;danger;9;false;10;hot;23
61;red;0.55;none;45.5;cold;45.5;hot;23;false;45.5
62;none;10;medium;23;hot;0.55;danger;1234;true;9
63;hot;23445;cold;1234;medium;0.55;blue;1234;red;10
64;hot;11;false;0.55;blue;23445;blue;11;medium;10
65;red;23;true;20.7;red;20.7;true;7;blue;11
66;true;20.7;safe;7;medium;9;red;20.7;true;9
67;true;45.5;false;0.55;red;7;hot;45.5;hot;7
68;medium;23445;true;23;danger;20.7;cold;45.5;none;23
69;none;45.5;blue;20.7;false;0.55;medium;23445;medium;20.7
70;medium;7;true;20.7;cold;23445;hot;0.55;red;11
71;danger;0.55;none;10;blue;20.7;hot;23;true;11
72;red;7;true;0.55;hot;7;medium;10;none;23445
73;none;11;cold;0.55;true;23;false;45.5;cold;11
74;danger;7;red;23;danger;20.7;blue;23445;hot;20.7
75;true;10;none;23445;cold;7;safe;1234;cold;11
76;cold;10;true;20.7;false;11;false;1234;none;9
77;cold;0.55;red;23;red;45.5;blue;11;medium;23
78;red;23445;medium;10;false;7;red;0.55;safe;7
79;hot;20.7;false;0.55;medium;11;medium;10;cold;9
80;safe;10;safe;23445;medium;45.5;medium;7;red;1234
81;danger;45.5;true;10;true;0.55;safe;20.7;blue;11
82;true;10;hot;9;danger;20.7;none;45.5;hot;10
83;hot;23445;safe;23;hot;9;none;20.7;none;23445
84;true;45.5;hot;23;true;9;red;23445;red;11
85;red;20.7;true;1234;hot;9;true;10;hot;11
86;cold;7;none;9;red;20.7;medium;23445;hot;0.55
87;danger;23445;hot;0.55;true;10;danger;0.55;danger;20.7
88;cold;20.7;safe;45.5;false;20.7;true;0.55;medium;9
89;false;9;safe;0.55;danger;7;false;9;danger;11
90;blue;23;hot;11;red;7;false;20.7;hot;9
91;true;1234;red;23;cold;10;medium;11;none;23
92;hot;10;true;20.7;safe;0.55;medium;45.5;false;23
93;false;1234;hot;1234;true;0.55;hot;45.5;cold;23
