AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;true;1234;danger;9;true;23;none;1234;cold;45.5
2;danger;9;none;7;true;23;blue;1234;blue;0.55
3;danger;10;medium;7;true;7;red;23;danger;10
4;danger;1234;cold;1234;red;11;blue;23445;true;11
5;hot;23445;medium;9;cold;11;danger;20.7;medium;0.55
6;cold;10;none;10;false;0.55;cold;10;safe;9
7;red;9;danger;23445;medium;23;false;11;none;23445
8;true;9;false;9;blue;23;hot;10;medium;23
9;none;9;true;20.7;medium;11;blue;9;true;11
10;hot;23;safe;1234;hot;9;blue;7;none;9
11;cold;10;hot;23;hot;20.7;red;11;danger;0.55
12;danger;10;false;23445;none;11;blue;11;cold;23
13;hot;20.7;none;20.7;hot;9;red;20.7;medium;20.7
14;cold;23;red;11;safe;9;true;1234;safe;23445
15;none;23;cold;9;medium;45.5;false;9;false;23
16;none;0.55;safe;1234;red;23445;false;23;blue;11
17;blue;45.5;danger;9;true;45.5;true;9;safe;11
18;none;9;danger;11;cold;45.5;red;23445;false;10
19;red;9;medium;23;red;23445;red;23;danger;9
20;true;10;red;10;hot;23445;hot;20.7;danger;7
21;false;7;cold;1234;cold;20.7;false;0.55;hot;0.55
22;true;45.5;danger;20.7;false;0.55;cold;7;false;23445
23;hot;23445;false;9;red;23;cold;23;safe;1234
24;safe;9;none;23;false;23445;hot;11;medium;10
25;true;11;safe;0.55;danger;9;true;23;cold;20.7
26;true;7;false;9;true;1234;true;1234;medium;20.7
27;blue;20.7;blue;23;red;45.5;cold;20.7;true;23445
28;hot;23;true;20.7;true;20.7;red;10;false;20.7
29;cold;20.7;medium;9;medium;20.7;danger;9;hot;23445
30;hot;23;danger;20.7;none;20.7;cold;23;medium;10
31;red;45.5;danger;11;safe;10;medium;20.7;safe;23
32;true;9;red;0.55;cold;23;false;0.55;true;20.7
33;red;1234;true;23;red;23;safe;23445;red;11
